day,total_agents
0,0
1,0
2,13
3,7
4,11
5,7
6,9
7,6
8,10
9,10
10,9
11,6
12,8
13,6
14,8
15,7
16,7
17,7
18,4
19,5
20,5
21,5
22,4
23,5
24,2
25,3
26,2
27,3
28,3
29,3
30,4
31,5
32,5
33,5
34,4
35,5
36,3
37,4
38,4
39,4
40,4
41,4
42,4
43,3
44,4
45,2
46,3
47,2
48,3
49,2
50,3
51,3
52,3
53,3
54,3
55,2
56,2
57,2
58,2
59,1
60,2
61,1
62,3
63,1
64,2
65,1
66,2
67,1
68,2
69,1
70,2
71,1
72,2
73,2
74,2
75,3
76,2
77,1
78,1
79,1
80,1
81,5
82,4
83,3
84,4
85,3
86,2
87,2
88,2
89,2
90,2
91,2
92,9
93,4
94,3
95,1
96,1
97,1
98,9
99,10
100,7
101,4
102,4
103,5
104,5
105,6
106,4
107,3
108,3
109,3
110,2
111,3
112,3
113,3
114,2
115,2
116,1
117,1
118,1
119,1
120,2
121,1
122,1
123,2
124,2
125,2
126,1
127,3
128,4
129,3
130,2
131,3
132,1
133,3
134,2
135,2
136,2
137,2
138,2
139,5
140,6
141,6
142,6
143,7
144,6
145,8
146,6
147,5
148,5
149,7
150,7
151,6
152,6
153,7
154,19
155,11
156,10
157,10
158,6
159,6
160,5
161,4
162,3
163,3
164,4
165,11
166,12
167,14
168,9
169,9
170,6
171,8
172,8
173,8
174,7
175,7
176,7
177,6
178,6
179,6
180,6
181,6
182,4
183,5
184,5
185,5
186,4
187,5
188,4
189,5
190,5
191,7
192,7
193,7
194,6
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,4
205,4
206,4
207,7
208,10
209,6
210,8
211,11
212,10
213,11
214,11
215,6
216,7
217,6
218,5
219,5
220,6
221,5
222,6
223,7
224,6
225,7
226,9
227,8
228,8
229,9
230,10
231,10
232,9
233,11
234,10
235,10
236,8
237,9
238,8
239,8
240,6
241,9
242,7
243,8
244,7
245,8
246,10
247,10
248,10
249,8
250,8
251,8
252,8
253,8
254,8
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,7
266,7
267,8
268,8
269,7
270,8
271,9
272,9
273,31
274,28
275,36
276,35
277,34
278,30
279,30
280,28
281,26
282,27
283,26
284,26
285,25
286,25
287,23
288,23
289,23
290,22
291,23
292,23
293,23
294,22
295,24
296,22
297,23
298,23
299,22
300,22
301,22
302,22
303,22
304,25
305,22
306,25
307,23
308,24
309,23
310,24
311,23
312,24
313,23
314,24
315,25
316,26
317,30
318,30
319,29
320,33
321,33
322,35
323,35
324,38
325,39
326,39
327,42
328,42
329,43
330,42
331,42
332,45
333,42
334,45
335,44
336,45
337,44
338,46
339,45
340,44
341,44
342,44
343,43
344,43
345,43
346,43
347,45
348,47
349,52
350,55
351,53
352,53
353,53
354,51
355,51
356,51
357,50
358,50
359,50
360,53
361,54
362,57
363,56
364,56
365,57
366,56
367,56
368,56
369,56
370,57
371,58
372,57
373,56
374,56
375,56
376,55
377,54
378,54
379,54
380,54
381,54
382,54
383,54
384,54
385,54
386,54
387,54
388,54
389,54
390,54
391,54
392,55
393,55
394,55
395,56
396,56
397,56
398,56
399,56
400,56
401,55
402,55
403,55
404,55
405,55
406,55
407,55
408,55
409,56
410,55
411,58
412,59
413,60
414,64
415,64
416,65
417,63
418,62
419,62
420,62
421,62
422,62
423,61
424,61
425,61
